大类,指令,说明,,,,,,
AIX 系统/用户和组管理,chuser groups=staff john,移除组,,,,,,
AIX 系统/用户和组管理,lsgroup developers,组信息,,,,,,
AIX 系统/用户和组管理,lsgroup ALL,所有组,,,,,,
AIX 系统/用户和组管理,grep developers /etc/group,组成员,,,,,,
AIX 系统/用户和组管理,last john,用户登录历史,,,,,,
AIX 系统/用户和组管理,lastb,失败登录尝试,,,,,,
AIX 系统/用户和组管理,who,当前在线用户,,,,,,
AIX 系统/用户和组管理,w,用户在做什么,,,,,,
AIX 系统/文件系统管理,mount,显示挂载信息,,,,,,
AIX 系统/文件系统管理,df -g,GB 单位显示,,,,,,
AIX 系统/文件系统管理,df -i,inode 使用情况,,,,,,
AIX 系统/文件系统管理,du -sk *,每个目录大小,,,,,,
AIX 系统/文件系统管理,find / -xdev -size +100M -ls,大于 100MB 文件,,,,,,
AIX 系统/文件系统管理,crfs -v jfs2 -d hdisk1 -m /data -A yes -a size=10G,创建文件系统,,,,,,
AIX 系统/文件系统管理,mklv -y datalv -t jfs2 rootvg 10G,创建 LV,,,,,,
AIX 系统/文件系统管理,chfs -a size=+5G /data,扩展 5G,,,,,,
AIX 系统/文件系统管理,chfs -a size=-2G /data,缩减 2G,,,,,,
AIX 系统/文件系统管理,mount /dev/fslv00 /data,挂载,,,,,,
AIX 系统/文件系统管理,umount /data,卸载,,,,,,
AIX 系统/文件系统管理,vi /etc/filesystems,编辑 fstab,,,,,,
AIX 系统/文件系统管理,fsck -y /dev/fslv00,文件系统检查,,,,,,
AIX 系统/文件系统管理,mount | grep /data,查看类型,,,,,,
AIX 系统/文件系统管理,mount server:/export/data /mnt,NFS 挂载,,,,,,
AIX 系统/逻辑卷管理 (LVM),lsvg,所有 VG,,,,,,
AIX 系统/逻辑卷管理 (LVM),lsvg rootvg,VG 详细信息,,,,,,
AIX 系统/逻辑卷管理 (LVM),lspv,物理卷列表,,,,,,
AIX 系统/逻辑卷管理 (LVM),lspv hdisk0,PV 详细信息,,,,,,
AIX 系统/逻辑卷管理 (LVM),lslv,逻辑卷列表,,,,,,
AIX 系统/逻辑卷管理 (LVM),lslv datalv,LV 详细信息,,,,,,
AIX 系统/逻辑卷管理 (LVM),mkvg -y datavg hdisk1 hdisk2,创建 VG,,,,,,
AIX 系统/逻辑卷管理 (LVM),extendvg datavg hdisk3,添加 PV,,,,,,
AIX 系统/逻辑卷管理 (LVM),reducevg datavg hdisk2,移除 PV,,,,,,
AIX 系统/逻辑卷管理 (LVM),mklv -y datalv -t jfs2 datavg 10G,创建 LV,,,,,,
AIX 系统/逻辑卷管理 (LVM),extendlv datalv 5G,扩展 LV,,,,,,
AIX 系统/逻辑卷管理 (LVM),mklvcopy datalv 2,创建镜像,,,,,,
AIX 系统/逻辑卷管理 (LVM),rmlvcopy datalv 1,移除镜像,,,,,,
AIX 系统/逻辑卷管理 (LVM),syncvg -v datavg,同步 VG,,,,,,
AIX 系统/逻辑卷管理 (LVM),exportvg datavg,导出 VG,,,,,,
AIX 系统/逻辑卷管理 (LVM),importvg -y datavg hdisk1,导入 VG,,,,,,
AIX 系统/逻辑卷管理 (LVM),chlv -e x datalv,跨盘分布,,,,,,
AIX 系统/逻辑卷管理 (LVM),chlv -e m datalv,盘中分布,,,,,,
AIX 系统/逻辑卷管理 (LVM),lsvg -p datavg,PP 使用情况,,,,,,
AIX 系统/逻辑卷管理 (LVM),chvg -h hdisk3 datavg,添加热备盘,,,,,,
AIX 系统/网络配置,ifconfig -a,所有接口,,,,,,
AIX 系统/网络配置,ifconfig en0 192.168.1.10 netmask 255.255.255.0 up,配置 IP,,,,,,
AIX 系统/网络配置,netstat -rn,路由表,,,,,,
AIX 系统/网络配置,route add default 192.168.1.1,默认网关,,,,,,
AIX 系统/网络配置,route delete 10.0.0.0,删除路由,,,,,,
AIX 系统/网络配置,cat /etc/resolv.conf,DNS 配置,,,,,,
AIX 系统/网络配置,hostname,查看主机名,,,,,,
AIX 系统/网络配置,vi /etc/hosts,编辑 hosts,,,,,,
AIX 系统/网络配置,ping 192.168.1.1,Ping 测试,,,,,,
AIX 系统/网络配置,traceroute www.google.com,路由跟踪,,,,,,
AIX 系统/网络配置,netstat -an | grep LISTEN,监听端口,,,,,,
AIX 系统/网络配置,netstat -an | grep ESTABLISHED,已建立连接,,,,,,
AIX 系统/网络配置,netstat -s,协议统计,,,,,,
AIX 系统/网络配置,arp -a,ARP 表,,,,,,
AIX 系统/网络配置,arp -d hostname,删除 ARP 条目,,,,,,
AIX 系统/软件包管理,installp -acgXd /dev/cd0 all,从光盘安装,,,,,,
AIX 系统/软件包管理,lppchk -v,验证软件,,,,,,
AIX 系统/软件包管理,lslpp -l all,所有软件级别,,,,,,
AIX 系统/软件包管理,installp -u package.name,卸载软件,,,,,,
AIX 系统/软件包管理,update_all -d /dev/cd0,应用所有更新,,,,,,
AIX 系统/软件包管理,installp -c all,提交软件,,,,,,
AIX 系统/软件包管理,installp -C,拒绝应用,,,,,,
AIX 系统/软件包管理,installp -c cleanup,清理旧版本,,,,,,
AIX 系统/软件包管理,lppchk -v,检查依赖,,,,,,
AIX 系统/软件包管理,rpm -ivh package.rpm,RPM 安装,,,,,,
AIX 系统/软件包管理,rpm -qa | grep package,查询 RPM,,,,,,
AIX 系统/软件包管理,rpm -e package,删除 RPM,,,,,,
AIX 系统/系统监控,topas,性能监控,,,,,,
AIX 系统/系统监控,svmon -G,全局内存,,,,,,
AIX 系统/系统监控,lsps -a,分页空间,,,,,,
AIX 系统/系统监控,iostat -D 1 5,I/O 统计,,,,,,
AIX 系统/系统监控,vmstat 1 5,虚拟内存统计,,,,,,
AIX 系统/系统监控,"ps -A -o pcpu,ppid,pid,stat,args | head",进程统计,,,,,,
AIX 系统/系统监控,netstat -I ent0 1 5,网络接口统计,,,,,,
AIX 系统/系统监控,errpt | head,错误报告,,,,,,
AIX 系统/系统监控,errpt -a -j ERROR_ID,详细错误信息,,,,,,
AIX 系统/系统监控,tail -f /var/adm/messages,系统日志,,,,,,
AIX 系统/系统监控,tail -f /var/adm/ras/syslog.cns,安全日志,,,,,,
AIX 系统/系统监控,uptime,运行时间,,,,,,
AIX 系统/系统监控,who -b,最后启动时间,,,,,,
AIX 系统/备份和恢复,mksysb -i /dev/rmt0,备份到磁带,,,,,,
AIX 系统/备份和恢复,savevg -if /dev/rmt0 datavg,备份 VG,,,,,,
AIX 系统/备份和恢复,bosinst -T -d /dev/rmt0,从磁带恢复,,,,,,
AIX 系统/备份和恢复,backup -vf /dev/rmt0 /home,备份目录,,,,,,
AIX 系统/备份和恢复,restore -xvf /dev/rmt0,恢复文件,,,,,,
AIX 系统/备份和恢复,restore -Tvf /dev/rmt0,列出备份,,,,,,
AIX 系统/备份和恢复,restore -ivf /dev/rmt0,交互恢复,,,,,,
AIX 系统/备份和恢复,backup -0vuf /dev/rmt0 /home,0 级增量,,,,,,
AIX 系统/备份和恢复,backup -Dvuf /dev/rmt0 /home,差异备份,,,,,,
AIX 系统/备份和恢复,tar -cvf backup.tar /home,tar 备份,,,,,,
AIX 系统/性能调优,vmo -o minperm%=5,最小内存,,,,,,
AIX 系统/性能调优,vmo -a,所有 VM 参数,,,,,,
AIX 系统/性能调优,ioo -a,IO 优化参数,,,,,,
AIX 系统/性能调优,no -a,网络优化参数,,,,,,
AIX 系统/性能调优,schedo -a,调度器参数,,,,,,
AIX 系统/性能调优,ioo -o aio_minservers=3,AIO 服务器,,,,,,
AIX 系统/性能调优,vmo -o vmm_default_spare=1024,备用页,,,,,,
AIX 系统/性能调优,vmo -o maxclient%=50,最大客户端,,,,,,
AIX 系统/性能调优,chps -s 2 paging00,扩展交换,,,,,,
AIX 系统/性能调优,chps -d 1 paging00,缩减交换,,,,,,
AIX 系统/安全管理,lssec -f /etc/security/login.cfg,登录配置,,,,,,
AIX 系统/安全管理,lssec -f /etc/security/user,用户安全,,,,,,
AIX 系统/安全管理,chsec -f /etc/security/user -s DEFAULT -a minlen=8,最小长度,,,,,,
AIX 系统/安全管理,chsec -f /etc/security/user -s DEFAULT -a maxage=90,90 天过期,,,,,,
AIX 系统/安全管理,chsec -f /etc/security/user -s DEFAULT -a loginretries=5,5 次失败锁定,,,,,,
AIX 系统/安全管理,visudo,编辑 sudoers,,,,,,
AIX 系统/安全管理,chmod 755 file,设置权限,,,,,,
AIX 系统/安全管理,chown user:group file,变更所有者,,,,,,
AIX 系统/安全管理,aclget file,获取 ACL,,,,,,
AIX 系统/安全管理,aclput file,设置 ACL,,,,,,
Ansible /基础命令,ansible --version,Ansible 版本信息,,,,,,
Ansible /基础命令,ansible-playbook --version,Playbook 版本,,,,,,
Ansible /基础命令,ansible --help,基础帮助,,,,,,
Ansible /基础命令,ansible-playbook --help,Playbook 帮助,,,,,,
Ansible /基础命令,ansible-doc -l,所有模块文档,,,,,,
Ansible /基础命令,ansible-doc ping,特定模块文档,,,,,,
Ansible /基础命令,ansible-inventory --list,列出所有主机,,,,,,
Ansible /基础命令,ansible-inventory --graph,图形化显示,,,,,,
Ansible /基础命令,ansible-inventory --host web1,查看特定主机变量,,,,,,
Ansible /基础命令,ansible all -m ping,Ping 所有主机,,,,,,
Ansible /基础命令,ansible webservers -m ping,Ping 特定组,,,,,,
Ansible /基础命令,ansible all -m ping -u root,指定用户,,,,,,
Ansible /基础命令,ansible all -m command -a uptime"",执行命令,,,,,,
Ansible /基础命令,ansible all -m shell -a echo $HOME"",Shell 命令,,,,,,
Ansible /基础命令,ansible all -m script -a /path/to/script.sh"",执行脚本,,,,,,
Ansible /模块使用,ansible all -m setup,收集所有事实,,,,,,
Ansible /模块使用,ansible all -m setup -a filter=ansible_distribution*"",过滤事实,,,,,,
Ansible /模块使用,ansible all -m setup -a gather_subset=!hardware"",排除硬件信息,,,,,,
Ansible /模块使用,ansible all -m file -a path=/tmp/test state=directory"",创建目录,,,,,,
Ansible /模块使用,ansible all -m file -a path=/tmp/test state=absent"",删除文件,,,,,,
Ansible /模块使用,ansible all -m copy -a src=/local/file dest=/remote/file"",复制文件,,,,,,
Ansible /模块使用,ansible all -m fetch -a src=/remote/file dest=/local/"",获取文件,,,,,,
Ansible /模块使用,ansible all -m yum -a name=httpd state=present"",安装 RPM 包,,,,,,
Ansible /模块使用,ansible all -m apt -a name=nginx state=present"",安装 DEB 包,,,,,,
Ansible /模块使用,ansible all -m pip -a name=flask state=present"",安装 Python 包,,,,,,
Ansible /模块使用,ansible all -m service -a name=httpd state=started enabled=yes"",启动服务,,,,,,
Ansible /模块使用,ansible all -m systemd -a name=docker state=restarted"",重启服务,,,,,,
Ansible /模块使用,ansible all -m user -a name=john state=present"",创建用户,,,,,,
Ansible /模块使用,ansible all -m user -a name=john state=absent"",删除用户,,,,,,
Ansible /模块使用,ansible all -m group -a name=developers state=present"",创建组,,,,,,
Ansible /模块使用,ansible all -m user -a name=john password='{{ 'password' | password_hash('sha512') }}'"",设置密码,,,,,,
Ansible /模块使用,ansible all -m cron -a name='backup job' minute=0 hour=2 job='/backup.sh'"",创建定时任务,,,,,,
Ansible /模块使用,ansible all -m cron -a name='backup job' state=absent"",删除定时任务,,,,,,
Ansible /模块使用,ansible all -m lineinfile -a path=/etc/environment line='PATH=/usr/local/sbin:/usr/local/bin:/sbin:/bin:/usr/sbin:/usr/bin'"",修改环境变量,,,,,,
Ansible /模块使用,ansible all -m hostname -a name=web01.example.com"",设置主机名,,,,,,
Ansible /模块使用,ansible all -m sysctl -a name=net.ipv4.ip_forward value=1 state=present reload=yes"",内核参数,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml,运行 playbook,,,,,,
Ansible /Playbook 编写,ansible-playbook -i inventory playbook.yml,指定清单,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --limit webservers,限制主机,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --check,模拟运行,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --diff,显示差异,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --check --diff,模拟并显示差异,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml -v,详细输出,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml -vvv,非常详细,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml -D,调试模式,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --tags config"",只运行 config 标签,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --skip-tags debug"",跳过 debug 标签,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --list-tags,列出标签,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --start-at-task Install packages"",从指定任务开始,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --step,逐步执行,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --force-handlers,强制运行 handlers,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml -e ignore_errors=true"",忽略错误,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml -e var1=value1"",传递变量,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml -e @vars.yml"",从文件传递,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml -e users=[user1,user2]"",列表变量,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml -f 10,10 个并发,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --forks 20,20 个并发,,,,,,
Ansible /Playbook 编写,ansible-playbook playbook.yml --timeout=30,30 秒超时,,,,,,
Ansible /清单文件,ansible-inventory --list -i aws_ec2.yml,AWS EC2,,,,,,
Ansible /清单文件,ansible-inventory --list -i azure_rm.yml,Azure,,,,,,
Ansible /清单文件,ansible-playbook -i prod/ -i common/ playbook.yml,多个清单,,,,,,
Ansible /Vault 加密,ansible-vault create secret.yml,创建加密文件,,,,,,
Ansible /Vault 加密,ansible-vault edit secret.yml,编辑加密文件,,,,,,
Ansible /Vault 加密,ansible-vault encrypt secret.yml,加密文件,,,,,,
Ansible /Vault 加密,ansible-vault encrypt *.yml,批量加密,,,,,,
Ansible /Vault 加密,ansible-vault decrypt secret.yml,解密文件,,,,,,
Ansible /Vault 加密,ansible-vault view secret.yml,查看加密文件,,,,,,
Ansible /Vault 加密,ansible-vault rekey secret.yml,重新设置密码,,,,,,
Ansible /Vault 加密,ansible-playbook playbook.yml --ask-vault-pass,输入密码,,,,,,
Ansible /Vault 加密,ansible-playbook playbook.yml --vault-password-file ~/.vault_pass.txt,密码文件,,,,,,
Ansible /Vault 加密,ansible-playbook playbook.yml --vault-id dev@~/.dev_pass.txt,多密码,,,,,,
Ansible /Roles 角色,ansible-galaxy init myrole,创建角色骨架,,,,,,
Ansible /Roles 角色,ansible-galaxy init --offline myrole,离线创建,,,,,,
Ansible /Roles 角色,ansible-galaxy install geerlingguy.nginx,安装角色,,,,,,
Ansible /Roles 角色,ansible-galaxy install -r requirements.yml,批量安装,,,,,,
Ansible /Roles 角色,ansible-galaxy list,列出已安装角色,,,,,,
Ansible /Roles 角色,ansible-galaxy remove geerlingguy.nginx,删除角色,,,,,,
Ansible /模板引擎,ansible all -m template -a src=template.j2 dest=/etc/config.conf"",渲染模板,,,,,,
Ansible /测试和调试,ansible-playbook playbook.yml --syntax-check,语法检查,,,,,,
Ansible /测试和调试,ansible-playbook playbook.yml --check,预检,,,,,,
Ansible /故障排除,ansible all -m ping -vvv,详细调试,,,,,,
Ansible /故障排除,ansible all -m raw whoami"",原始命令测试,,,,,,
Ansible /故障排除,ansible all -m shell -a sudo -l"",检查 sudo 权限,,,,,,
Ansible /故障排除,ansible all -m shell -a python --version"",检查 Python,,,,,,
Ansible /故障排除,ansible all -m shell -a ping -c 3 {{ ansible_host }}"",网络连通性,,,,,,
Ansible /实用技巧,ansible all -m shell -a uptime && free -h && df -h"",多命令执行,,,,,,
Ansible /实用技巧,ansible all -m copy -a src=file dest=file.bak backup=yes"",自动备份,,,,,,
Ansible /实用技巧,ansible all -m replace -a path=/etc/hosts regexp='^127.0.0.1' line='127.0.0.1 localhost newhostname'"",正则替换,,,,,,
Ansible /实用技巧,ansible all -m setup -a filter=ansible_*_address"",IP 地址发现,,,,,,
Ansible /实用技巧,ansible all -m user -a name={{ item }} state=present createhome=yes" --loop "[alice,bob,charlie]"",批量创建用户,,,,
Ansible /实用技巧,ansible all -m yum -a name={{ item }} state=present" --loop "[httpd,mysql,php]"",批量安装,,,,
Ansible /实用技巧,ansible all -m synchronize -a src=/local/path/ dest=/remote/path/ recursive=yes"",rsync 同步,,,,,,
Ansible /实用技巧,ansible all -m reboot,批量重启服务器,,,,,,
containerd /ctr 基础命令,ctr version,显示版本信息,,,,,,
containerd /ctr 基础命令,ctr --help,显示帮助信息,,,,,,
containerd /ctr 基础命令,ctr namespaces list,所有命名空间,,,,,,
containerd /ctr 基础命令,ctr namespaces create dev,创建开发命名空间,,,,,,
containerd /ctr 基础命令,ctr namespaces delete dev,删除命名空间,,,,,,
containerd /ctr 基础命令,ctr --namespace dev images list,指定命名空间,,,,,,
containerd /ctr 基础命令,ctr images pull docker.io/library/nginx:latest,拉取镜像,,,,,,
containerd /ctr 基础命令,ctr images pull -u username:password docker.io/library/nginx:latest,认证拉取,,,,,,
containerd /ctr 基础命令,ctr images list,所有镜像,,,,,,
containerd /ctr 基础命令,ctr images inspect docker.io/library/nginx:latest,镜像详情,,,,,,
containerd /ctr 基础命令,ctr images rm docker.io/library/nginx:latest,删除镜像,,,,,,
containerd /ctr 基础命令,ctr images rm $(ctr images -q),删除所有镜像,,,,,,
containerd /ctr 基础命令,ctr images save -o nginx.tar docker.io/library/nginx:latest,导出镜像,,,,,,
containerd /ctr 基础命令,ctr images load -i nginx.tar,导入镜像,,,,,,
containerd /ctr 基础命令,ctr images tag docker.io/library/nginx:latest nginx:1.0,标记镜像,,,,,,
containerd /ctr 基础命令,ctr images push docker.io/myuser/nginx:latest,推送镜像,,,,,,
containerd /ctr 基础命令,ctr images push -u username:password docker.io/myuser/nginx:latest,认证推送,,,,,,
containerd /ctr 基础命令,ctr images export docker.io/library/nginx:latest | tar -tvf -,查看内容,,,,,,
containerd /ctr 基础命令,ctr images tree docker.io/library/nginx:latest,层树,,,,,,
containerd /ctr 基础命令,ctr images prune,清理镜像,,,,,,
containerd /容器操作,ctr run docker.io/library/nginx:latest my-nginx,运行容器,,,,,,
containerd /容器操作,ctr run -t --rm docker.io/library/nginx:latest my-nginx bash,交互式,,,,,,
containerd /容器操作,ctr run -d docker.io/library/nginx:latest my-nginx,后台运行,,,,,,
containerd /容器操作,ctr containers list,所有容器,,,,,,
containerd /容器操作,ctr containers inspect my-nginx,容器详情,,,,,,
containerd /容器操作,ctr containers rm my-nginx,删除容器,,,,,,
containerd /容器操作,ctr containers rm -f my-nginx,强制删除,,,,,,
containerd /容器操作,ctr tasks start my-nginx,启动任务,,,,,,
containerd /容器操作,ctr tasks kill my-nginx,停止容器,,,,,,
containerd /容器操作,ctr tasks pause my-nginx,暂停容器,,,,,,
containerd /容器操作,ctr tasks resume my-nginx,恢复容器,,,,,,
containerd /容器操作,ctr tasks exec -t my-nginx ls /,执行命令,,,,,,
containerd /容器操作,ctr tasks attach my-nginx,附加到容器,,,,,,
containerd /容器操作,ctr tasks logs my-nginx,查看日志,,,,,,
containerd /容器操作,ctr tasks logs -f my-nginx,跟随日志,,,,,,
containerd /容器操作,ctr tasks top my-nginx,容器进程,,,,,,
containerd /容器操作,ctr tasks metrics my-nginx,资源统计,,,,,,
containerd /容器操作,ctr checkpoints create my-nginx checkpoint1,创建检查点,,,,,,
containerd /容器操作,ctr checkpoints list my-nginx,检查点列表,,,,,,
containerd /容器操作,ctr run --checkpoint checkpoint1 docker.io/library/nginx:latest restored,恢复,,,,,,
containerd /网络配置,ctr plugins ls | grep net,网络插件,,,,,,
containerd /网络配置,cat /etc/cni/net.d/10-bridge.conf,CNI 配置,,,,,,
containerd /网络配置,ctr run --net-host docker.io/library/nginx:latest my-nginx,主机网络,,,,,,
containerd /网络配置,ctr run -p 8080:80 docker.io/library/nginx:latest my-nginx,端口映射,,,,,,
containerd /网络配置,ctr run -p 8080:80 -p 8443:443 docker.io/library/nginx:latest my-nginx,多端口,,,,,,
containerd /网络配置,ctr run --cni docker.io/library/nginx:latest my-nginx,CNI 网络,,,,,,
containerd /网络配置,ls -la /var/run/netns/,网络命名空间,,,,,,
containerd /网络配置,ctr run --netns=/var/run/netns/mynet docker.io/library/nginx:latest my-nginx,现有网络,,,,,,
containerd /网络配置,ctr run --net-host=false docker.io/library/nginx:latest my-nginx,禁用网络,,,,,,
containerd /网络配置,ctr tasks metrics my-nginx | grep net,网络统计,,,,,,
containerd /存储管理,ctr run -v /host/data:/container/data docker.io/library/nginx:latest my-nginx,挂载卷,,,,,,
containerd /存储管理,ctr run -v /host/data:/container/data:ro docker.io/library/nginx:latest my-nginx,只读,,,,,,
containerd /存储管理,"ctr run --tmpfs /tmp:rw,size=100m docker.io/library/nginx:latest my-nginx",tmpfs,,,,,,
containerd /存储管理,"ctr run --mount type=bind,source=/host/file,target=/container/file,readonly docker.io/library/nginx:latest my-nginx",绑定,,,,,,
containerd /存储管理,ctr snapshots list,快照列表,,,,,,
containerd /存储管理,ctr snapshots create my-snapshot,创建快照,,,,,,
containerd /存储管理,ctr snapshots remove my-snapshot,删除快照,,,,,,
containerd /存储管理,ctr snapshots info my-snapshot,快照详情,,,,,,
containerd /存储管理,ctr snapshots mounts /mnt my-snapshot,挂载快照,,,,,,
containerd /存储管理,umount /mnt,卸载快照,,,,,,
containerd /OCI 规范,ctr oci generate my-nginx oci-bundle,生成 OCI 包,,,,,,
containerd /OCI 规范,ctr oci pack my-nginx my-nginx.tar.gz,导出包,,,,,,
containerd /OCI 规范,ctr oci unpack my-nginx.tar.gz,导入包,,,,,,
containerd /OCI 规范,ctr oci run oci-bundle my-container,运行 OCI,,,,,,
containerd /OCI 规范,cat oci-bundle/config.json,OCI 配置,,,,,,
containerd /OCI 规范,vi oci-bundle/config.json,编辑配置,,,,,,
containerd /OCI 规范,cat oci-bundle/hooks/poststart.sh,OCI 钩子,,,,,,
containerd /OCI 规范,ctr oci runtime,OCI 运行时,,,,,,
containerd /OCI 规范,ctr oci spec-version,规范版本,,,,,,
containerd /OCI 规范,ctr oci compliance,兼容性测试,,,,,,
containerd /插件管理,ctr plugins ls,所有插件,,,,,,
containerd /插件管理,ctr plugins info cri,插件详情,,,,,,
containerd /插件管理,ctr plugins enable cri,启用插件,,,,,,
containerd /插件管理,ctr plugins disable cri,禁用插件,,,,,,
containerd /插件管理,ctr plugins reload cri,重新加载,,,,,,
containerd /插件管理,ctr plugins logs cri,插件日志,,,,,,
containerd /插件管理,cat /etc/containerd/config.toml,插件配置,,,,,,
containerd /插件管理,ctr plugins health,健康检查,,,,,,
containerd /插件管理,ctr plugins deps cri,插件依赖,,,,,,
containerd /插件管理,ctr plugins update cri,插件更新,,,,,,
containerd /监控和调试,ctr services list,服务状态,,,,,,
containerd /监控和调试,journalctl -u containerd,系统日志,,,,,,
containerd /监控和调试,containerd config default,默认配置,,,,,,
containerd /监控和调试,containerd --test,测试配置,,,,,,
containerd /监控和调试,ctr pprof,性能分析,,,,,,
containerd /监控和调试,ctr trace,请求跟踪,,,,,,
containerd /监控和调试,ctr --debug,调试模式,,,,,,
containerd /监控和调试,ctr events,事件流,,,,,,
containerd /监控和调试,ctr events -t container.runtime,过滤事件,,,,,,
containerd /监控和调试,ctr events --past,历史事件,,,,,,
containerd /安全功能,ctr run --privileged=false docker.io/library/nginx:latest my-nginx,无特权,,,,,,
containerd /安全功能,ctr run --privileged docker.io/library/nginx:latest my-nginx,特权容器,,,,,,
containerd /安全功能,ctr run --cap-add SYS_ADMIN docker.io/library/nginx:latest my-nginx,添加能力,,,,,,
containerd /安全功能,ctr run --cap-drop NET_RAW docker.io/library/nginx:latest my-nginx,删除能力,,,,,,
containerd /安全功能,ctr run --seccomp profile.json docker.io/library/nginx:latest my-nginx,Seccomp,,,,,,
containerd /安全功能,ctr run --apparmor profile docker.io/library/nginx:latest my-nginx,AppArmor,,,,,,
containerd /安全功能,ctr run --selinux label docker.io/library/nginx:latest my-nginx,SELinux,,,,,,
containerd /安全功能,ctr run --read-only docker.io/library/nginx:latest my-nginx,只读根,,,,,,
containerd /安全功能,ctr run --userns host docker.io/library/nginx:latest my-nginx,用户命名空间,,,,,,
containerd /安全功能,ctr run --security-opt no-new-privileges docker.io/library/nginx:latest my-nginx,安全选项,,,,,,
containerd /高级功能,ctr run --cpu-shares 512 docker.io/library/nginx:latest my-nginx,CPU 份额,,,,,,
containerd /高级功能,ctr run --cpu-quota 50000 docker.io/library/nginx:latest my-nginx,CPU 配额,,,,,,
containerd /高级功能,ctr run --memory 512m docker.io/library/nginx:latest my-nginx,内存限制,,,,,,
containerd /高级功能,ctr run --memory-swap 1g docker.io/library/nginx:latest my-nginx,内存 + 交换,,,,,,
containerd /高级功能,ctr run --blkio-weight 500 docker.io/library/nginx:latest my-nginx,IO 权重,,,,,,
